# Time-averaged data for fix temp_GR
# TimeStep v_mytemp c_GR_1 c_GR_2 c_GR_3 c_GR_4 c_GR_5 c_GR_6
86000 563.682 9.75648 10.5711 9.87795 13.2973 9.41009 10.0075
87000 567.064 9.37347 10.6199 10.1137 13.2822 9.11945 10.0875
88000 561.985 9.43722 10.4192 10.2977 13.1169 9.29824 10.1957
89000 564.126 9.4627 10.4633 10.2321 13.2266 9.27256 10.3547
90000 561.343 9.50236 10.44 10.1306 13.797 9.03388 10.2168
91000 561.086 9.45807 10.2402 10.1692 13.4035 9.13263 10.5915
92000 554.69 9.53344 10.4251 10.2314 13.4973 9.36842 10.417
93000 559.725 9.65661 10.513 9.92538 13.5172 9.40451 10.2881
94000 546.835 9.46396 10.5244 9.81048 13.2511 9.14738 10.0608
95000 555.099 9.60698 10.3515 9.78731 13.5356 9.1687 9.96189
96000 557.256 9.77222 10.3908 10.1962 13.3583 9.0894 10.082
97000 556.625 9.3587 10.2853 9.97787 12.9839 9.15199 10.0335
98000 551.942 9.43861 10.4738 10.1082 13.1584 8.92169 10.0572
99000 551.925 9.67984 10.6627 10.2147 13.5484 9.0714 10.2357
100000 553.548 9.55106 10.4501 9.86545 13.4107 9.07812 10.1186
101000 552.076 9.49284 10.4763 10.2729 13.6091 9.02299 10.0821
102000 550.196 9.62862 10.3969 10.0941 13.815 8.99967 9.99579
103000 551.79 9.65842 10.6148 10.0341 13.6846 8.90845 10.1705
104000 545.581 9.82221 10.4607 10.2374 13.9203 9.03855 10.1731
105000 551.478 9.84956 10.4947 10.6183 13.9415 9.10378 10.1868
106000 548.559 9.65259 10.6287 10.5158 13.8211 9.1294 10.2294
107000 538.799 9.77551 10.5475 10.5378 14.1102 9.24418 10.172
108000 540.899 9.62035 10.3456 10.6276 14.0748 9.1377 10.4441
109000 540.266 9.71194 10.2957 10.4683 14.132 9.0894 10.719
110000 542.58 9.62324 10.2497 10.535 14.027 9.30387 10.9772
111000 535.329 9.71117 10.4547 10.5684 14.0897 9.24731 10.9984
112000 541.189 9.68056 10.5627 10.4846 14.1516 9.22383 10.8828
113000 543.973 9.46653 10.4913 10.3903 14.2019 9.17758 10.7978
114000 539.285 9.61131 10.3286 10.4025 14.3748 9.18675 10.6735
115000 534.435 9.57874 10.1973 10.0336 14.1272 9.24453 10.5556
116000 529.033 9.59689 10.1572 10.124 13.9179 9.22796 10.789
117000 533.13 9.56472 10.2735 9.95242 13.6891 9.23675 10.6376
118000 529.1 9.51366 10.283 10.0252 13.3586 9.25837 10.7946
119000 536.343 9.43098 10.3826 10.3939 13.5839 9.25067 10.8437
120000 532.973 9.61152 10.4569 10.4559 13.9025 9.16063 10.6911
121000 523.638 9.84018 10.4253 10.432 13.5973 9.27514 10.4972
122000 528.89 9.54416 10.3697 10.4059 13.9153 9.35215 10.4869
123000 527.351 9.69751 10.3091 10.1953 13.9313 9.42005 10.5222
124000 523.013 9.61415 10.3235 10.0516 13.9392 9.464 10.6477
125000 525.852 9.50378 10.506 10.2172 14.1519 9.26041 10.6829
126000 530.367 9.47039 10.5104 10.5092 14.0118 9.36424 11.2053
127000 519.224 9.50893 10.3312 10.4661 13.9803 9.06784 10.9002
128000 521.674 9.65815 10.305 10.2582 14.1237 9.0155 10.6327
129000 523.331 9.69203 10.5265 10.2706 14.0958 9.03195 10.4636
130000 521.63 9.50436 10.2015 10.5971 14.4641 9.05688 10.7354
131000 517.058 9.60083 10.3402 10.2664 14.0138 9.08968 11.0164
132000 512.621 9.6511 10.4265 10.1763 13.7406 9.08523 10.8823
133000 515.311 9.47386 10.4347 10.0704 13.6625 8.99633 10.3188
134000 515.521 9.3425 10.476 10.3836 13.6921 9.03413 10.172
135000 516.308 9.28141 10.4023 10.2825 13.1832 8.91257 10.1823
136000 512.45 9.47143 10.6621 10.1268 12.8263 9.00639 10.0678
137000 517.867 9.4883 10.5686 10.3156 13.0741 9.07086 10.2151
138000 513.185 9.5313 10.642 10.1003 13.2853 9.01741 9.98961
139000 515.046 9.38529 10.6007 10.2133 13.2752 9.17794 10.2209
140000 511.285 9.38977 10.6102 10.0797 13.2988 9.15067 10.2666
141000 505.553 9.39335 10.5028 10.3266 13.0829 9.02705 10.4383
142000 508.038 9.50727 10.3123 10.1226 12.7923 9.08003 10.1086
143000 510.509 9.44052 10.4535 10.3287 12.8707 9.03936 10.3973
144000 502.886 9.42049 10.4836 10.2995 12.9953 9.05811 10.2626
145000 503.83 9.58123 10.4259 10.2639 13.3022 9.12555 10.1887
146000 508.747 9.47893 10.4248 10.2248 13.1134 8.98498 10.3821
147000 502.757 9.67889 10.6224 10.2401 12.8347 9.12292 10.4738
148000 498.434 9.46776 10.5116 10.1194 12.7491 8.97205 10.4621
149000 493.581 9.49166 10.3527 10.2158 12.9806 9.04108 10.5994
150000 499.202 9.53041 10.2588 10.1922 13.1555 8.96542 10.4531
151000 498.819 9.47197 10.0883 10.2392 13.1176 8.8766 10.446
152000 501.65 9.43505 10.2526 10.166 13.1326 8.93478 10.7693
153000 498.043 9.48143 10.2313 10.2814 13.2892 9.02421 10.3887
154000 493.783 9.44142 10.2653 10.1492 13.0438 8.9738 10.3431
155000 497.703 9.54767 10.298 10.3875 13.3089 8.92847 10.4885
156000 498.036 9.51928 10.4878 10.1798 13.1212 9.043 10.4845
157000 492.292 9.32155 10.3381 10.0348 13.2265 9.06135 10.5314
158000 490.008 9.44961 10.2932 10.2649 13.1028 9.0275 10.2899
159000 494.308 9.28985 10.2753 10.1093 13.0599 9.08546 10.2811
160000 491.26 9.40438 10.3821 10.1003 13.0631 9.01098 10.2982
161000 489.977 9.5924 10.3369 10.3878 12.8197 9.04762 10.1947
162000 489.261 9.64809 10.2234 10.3207 13.2473 9.01545 10.3186
163000 489.781 9.50166 10.3624 10.3328 13.1782 8.90485 10.2392
164000 485.631 9.47065 10.4416 10.2173 13.1591 8.81872 10.1568
165000 482.242 9.45902 10.4156 10.1108 13.0036 8.99923 10.3523
166000 483.197 9.42626 10.4361 10.2178 12.9947 8.88673 10.2921
167000 480.908 9.41288 10.3506 10.1317 13.1597 9.02871 10.4637
168000 477.827 9.3125 10.2702 10.186 13.22 8.93726 10.593
169000 476.962 9.37819 10.5245 9.98948 13.301 8.99085 10.4862
170000 476.907 9.43619 10.5538 10.3419 13.4567 8.83665 10.362
171000 476.096 9.35646 10.3535 10.3324 13.5937 8.92541 10.3928
172000 477.597 9.54396 10.5599 10.2362 13.5044 8.88667 10.4369
173000 474.158 9.53042 10.3866 10.2872 13.2816 8.98559 10.3207
174000 479.336 9.40707 10.2761 10.1796 13.4445 8.83431 10.4018
175000 478.272 9.33641 10.3862 10.2736 13.205 8.88325 10.4657
176000 475.847 9.40944 10.2615 10.3317 13.1432 8.95082 10.558
177000 473.69 9.41277 10.2369 10.526 13.3281 9.03809 10.4749
178000 474.102 9.33999 10.2043 10.38 13.0656 8.87055 10.1967
179000 474.17 9.67901 10.3968 10.4432 12.7313 8.96281 10.3168
180000 474.032 9.39429 10.1749 10.12 13.0215 8.8799 10.0994
181000 470.332 9.41511 10.225 10.3143 13.1002 8.94485 10.2654
182000 469.794 9.45321 10.2237 10.3584 12.8957 8.94527 10.1095
183000 464.598 9.46437 10.4306 10.4105 12.9626 9.0249 10.2346
184000 465.017 9.46286 10.1823 10.2903 13.2538 8.87619 10.5064
185000 467.947 9.45991 10.3003 10.4249 12.973 8.90569 10.3076
186000 466.296 9.5099 10.216 10.3805 13.2791 8.93644 10.3177
187000 464.699 9.5589 10.3465 10.5233 13.2873 8.86268 10.2958
188000 460.675 9.51181 10.188 10.518 13.2724 8.98025 10.1557
189000 465.325 9.39939 10.1132 10.1728 13.1351 8.88286 10.1844
190000 455.823 9.49883 10.348 10.3331 13.0468 8.80723 10.2006
191000 461.047 9.57446 10.1354 10.2375 13.2003 8.8911 10.2293
192000 455.572 9.46645 10.2053 10.1711 13.3636 8.93829 10.4303
193000 459.798 9.52399 10.2529 10.2807 13.3234 8.85985 10.2223
194000 457.166 9.50414 10.3587 10.3447 13.1712 8.99564 10.2326
195000 455.663 9.46367 10.0891 10.3904 13.1862 8.85346 10.3586
196000 454.381 9.5062 10.3033 10.3612 13.4758 9.074 10.5627
197000 456.416 9.40418 10.3126 10.3652 13.3106 9.06805 10.2924
198000 450.115 9.50862 10.2374 10.4021 13.5793 8.92737 10.3136
199000 450.283 9.46934 10.2799 10.2254 13.3788 8.95954 10.4305
200000 450.45 9.56639 10.1652 10.3029 13.4922 8.95285 10.0976
201000 444.972 9.65006 10.1692 10.2254 13.2669 8.86442 10.0361
202000 448.586 9.73527 10.054 10.2738 13.0942 8.9352 10.1666
203000 451.969 9.7461 9.98085 10.2714 13.105 8.87365 9.99391
204000 443.859 9.60357 9.97772 10.3832 13.1734 8.94334 10.1779
205000 436.126 9.57741 10.2009 10.3261 13.0958 8.99736 10.128
206000 451.076 9.63887 10.2164 10.3771 13.0611 8.89518 10.1447
207000 441.775 9.6544 10.1598 10.4555 13.3729 8.86239 10.2333
208000 448.768 9.78471 10.1781 10.3684 13.3026 8.95272 10.2823
209000 435.77 9.61237 10.2603 10.3105 13.0394 8.90425 10.4336
210000 439.581 9.63383 10.1598 10.5385 13.2018 8.919 10.289
211000 435.681 9.75266 10.1334 10.3834 12.8765 8.85207 10.042
212000 438.479 9.64074 10.1845 10.2324 13.0194 8.79103 9.98305
213000 435.622 9.68961 10.214 10.0406 13.0501 8.80361 10.18
214000 436.231 9.41607 10.1084 10.0337 13.0757 8.77968 10.3554
215000 434.701 9.4823 10.1803 10.2837 12.9593 8.77541 10.1506
216000 431.888 9.33301 10.2224 10.0445 12.8413 8.88864 10.2464
217000 433.179 9.54235 10.3421 10.2359 12.9438 8.93816 10.2206
218000 430.776 9.5018 10.3501 10.2897 13.0903 8.89494 10.1844
219000 429.921 9.40287 10.3727 10.2183 13.1624 8.83807 9.983
220000 431.08 9.63376 10.1418 10.208 12.9783 8.85266 10.1445
221000 435.427 9.56328 10.2008 10.3542 13.0748 8.89671 10.2305
222000 430.207 9.59628 10.1712 10.3248 12.7189 9.00853 10.1121
223000 429.163 9.56801 10.1206 10.3185 12.9264 8.92669 10.1673
224000 429.866 9.64269 10.2258 10.2191 13.1495 8.9179 10.0744
225000 423.831 9.61773 10.2528 10.2534 12.9518 8.99728 10.2417
226000 429.159 9.69612 10.2242 10.1817 12.8778 8.86432 9.97038
227000 423.596 9.58294 10.1099 10.2942 13.0488 8.8358 10.0584
228000 422.005 9.58815 10.1561 10.2694 13.1844 8.83692 10.0492
229000 425.631 9.54456 10.1939 10.4031 13.0515 9.03095 10.0559
230000 422.811 9.59553 10.3507 10.3224 12.7649 9.07724 9.97469
231000 420.786 9.59934 10.2713 10.099 12.8834 9.0437 10.0325
232000 415.027 9.50722 10.0301 10.057 12.8989 8.97214 10.0703
233000 412.373 9.58983 10.1317 10.0456 13.412 8.94763 10.1083
234000 417.818 9.41019 10.2184 10.107 13.1569 8.85241 10.1159
235000 415.967 9.53091 10.143 10.1535 13.1687 9.0805 10.2612
236000 413.298 9.44897 10.0766 10.3173 12.9713 9.06151 10.1391
237000 409.749 9.42995 10.3694 10.3521 13.2224 9.02383 9.93508
238000 411.823 9.38148 10.2466 10.3279 13.0396 8.95765 10.0477
239000 409.205 9.45331 10.0906 10.2075 13.0704 8.94114 10.3212
240000 411.344 9.44023 10.2222 10.2503 13.0659 8.95461 10.0956
241000 411.164 9.48356 10.1277 10.2233 13.0951 8.94902 10.1591
242000 404.936 9.51171 10.2124 10.2414 12.9111 8.89473 9.88997
243000 409.755 9.56138 10.1697 10.1679 13.1887 8.87075 9.89697
244000 400.23 9.49883 10.1792 10.1737 13.1464 8.93398 10.0691
245000 410.043 9.51157 10.0486 10.2279 12.8791 9.0438 10.1318
246000 402.631 9.46006 10.246 10.1952 12.7783 8.98123 10.0214
247000 402.71 9.49099 10.0706 10.0858 12.7463 8.91637 10.043
248000 404.656 9.59009 10.1686 10.2802 12.8891 8.94992 9.97282
249000 400.167 9.51043 10.3034 10.1487 12.8869 8.9446 9.84992
250000 404.94 9.33576 10.1988 10.2427 12.9373 9.03005 10.0835
251000 405.413 9.49711 10.1018 10.1547 12.7963 9.1215 10.1649
252000 398.743 9.42662 10.1896 10.267 13.0518 8.9299 9.93291
253000 392.98 9.48372 10.2649 10.2181 12.7546 8.92646 9.83299
254000 393.18 9.5744 10.2641 10.1892 12.7588 8.94599 10.1273
255000 393.458 9.57248 10.1963 10.112 12.7951 9.04129 10.1171
256000 392.86 9.48295 10.236 10.3248 12.7584 9.11043 10.0717
257000 396.54 9.50734 10.2735 10.1771 12.7746 9.09045 10.1
258000 388.493 9.58805 10.2064 10.1128 13.0251 9.04845 9.90989
259000 393.29 9.57556 10.1246 9.93864 13.0252 9.02109 9.90016
260000 391.872 9.67064 10.1015 10.0907 12.9269 9.03254 10.1767
261000 391.19 9.37913 10.1661 10.1105 13.0409 9.07792 10.1193
262000 389.244 9.56208 10.2657 10.1493 13.2083 8.97272 10.0411
263000 384.259 9.54068 10.1728 10.1172 13.0797 9.04358 10.2687
264000 384.437 9.46154 10.0752 10.1637 13.2188 9.16861 10.4476
265000 384.874 9.40598 10.208 10.0225 13.13 9.06283 10.2409
